Timestamp (s),GPU Frame Time (ms),CPU Frame Time (ms),Draw Calls,Video Memory (MB),FPS
18.893,0.000,0.000,0,0.00,1.0
19.082,0.000,0.000,10,244.58,1.0
19.125,39.086,0.663,10,244.58,1.0
19.252,38.454,0.568,10,244.58,1.0
19.386,38.966,1.009,10,244.58,1.0
19.492,32.911,1.038,10,244.58,1.0
19.598,32.896,0.644,10,244.58,1.0
19.705,32.794,0.598,10,244.58,1.0
19.809,32.416,0.843,10,244.58,1.0
19.914,32.370,0.843,10,244.58,1.0
20.019,32.510,0.737,10,244.58,1.0
20.127,32.695,0.606,10,244.58,25.0
20.236,32.653,0.725,10,244.58,25.0
20.340,31.927,0.610,10,244.58,25.0
20.441,31.330,0.644,10,244.58,25.0
20.572,30.093,0.582,10,244.58,25.0
20.700,29.268,0.724,10,244.58,25.0
20.824,28.765,0.721,10,244.58,25.0
20.943,28.027,0.844,10,244.58,25.0
21.062,27.902,0.654,10,244.58,30.0
21.188,28.220,0.806,10,244.58,30.0
21.311,27.995,0.818,10,244.58,30.0
21.431,28.291,1.171,10,244.58,30.0
21.556,28.403,1.369,10,244.58,30.0
21.679,28.578,0.746,10,244.58,30.0
21.803,28.801,0.655,8,244.58,30.0
21.932,30.922,0.602,7,244.58,30.0
22.033,32.203,0.605,7,244.58,30.0
22.139,33.194,0.577,7,244.58,33.0
22.255,35.135,0.790,7,244.58,33.0
22.368,35.291,0.544,7,244.58,33.0
22.480,34.771,0.911,7,244.58,33.0
22.598,38.041,0.605,7,244.58,33.0
22.723,39.307,0.603,10,244.58,33.0
22.848,39.249,0.624,10,244.58,33.0
22.970,37.748,0.850,10,244.58,33.0
23.088,35.725,0.675,10,244.58,25.0
23.186,29.123,0.993,10,244.58,25.0
23.300,23.385,1.026,10,244.58,25.0
23.411,19.237,0.661,10,244.58,25.0
23.525,16.209,0.683,10,244.58,25.0
23.632,16.166,0.777,10,244.58,25.0
23.740,16.155,0.693,10,244.58,25.0
23.848,16.378,0.811,10,244.58,25.0
23.972,16.228,1.152,10,244.58,25.0
24.079,16.228,0.857,10,244.58,47.0
24.187,15.897,0.978,10,244.58,47.0
24.294,15.952,1.058,10,244.58,47.0
24.400,16.627,0.973,10,244.58,47.0
24.507,15.677,0.853,10,244.58,47.0
24.612,15.622,0.930,10,244.58,47.0
24.718,15.789,1.004,10,244.58,47.0
24.826,15.399,0.631,10,244.58,47.0
24.927,15.114,0.755,7,244.58,47.0
25.028,15.494,0.794,7,244.58,57.0
25.129,14.985,0.830,7,244.58,57.0
25.236,15.271,0.798,7,244.58,57.0
25.336,15.720,1.107,10,244.58,57.0
25.436,15.288,1.088,10,244.58,57.0
25.538,15.156,0.844,10,244.58,57.0
25.639,15.405,1.067,10,244.58,57.0
25.742,15.516,0.724,10,244.58,57.0
25.844,15.197,0.771,10,244.58,57.0
25.947,15.428,0.706,10,244.58,57.0
26.051,16.089,0.752,7,244.58,59.0
26.156,16.986,0.907,7,244.58,59.0
26.269,17.078,1.043,7,244.58,59.0
26.375,15.767,0.995,7,244.58,59.0
26.482,15.836,0.847,7,244.58,59.0
26.587,15.894,0.878,7,244.58,59.0
26.693,16.446,0.796,7,244.58,59.0
26.798,15.810,0.797,7,244.58,59.0
26.905,16.343,0.855,7,244.58,59.0
27.013,16.860,0.951,7,244.58,59.0
27.122,16.413,0.901,7,244.58,56.0
